Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
"Aug 19, 2008",Culex,spp.,Female,UnID,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 19, 2016",Culiseta,inornata,Female,,6,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Jul 04, 2017",Aedes,mercurator,Female,,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Sep 20, 2016",Culiseta,inornata,Female,,19,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jul 12, 1994",Aedes,vexans,Female,,15,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 29, 2023",Aedes,vexans,Female,,15,Peripheral-South,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 24, 2003",Male,UnID,Male,UnID,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Jun 05, 2007",Aedes,vexans,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jun 23, 1998",Culiseta,alaskaensis,Female,,2,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048 53.5242058)
"Jul 17, 2007",Aedes,vexans,Female,,9,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"May 22, 2018",Aedes,Black legs,Female,UnID,1,Residential-South,,Core,53.46981200,-113.45737900,POINT (-113.457379 53.469812)
"Jun 15, 1999",Culiseta,minnesotae,Female,,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Jun 03, 2014",Male,UnID,Male,UnID,11,Outer Community-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 16, 1996",Aedes,vexans,Female,,455,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048 53.5242058)
"Aug 10, 1999",Male,UnID,Male,UnID,547,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Aug 25, 2009",Culiseta,inornata,Female,,6,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
"Jul 31, 2018",Anopheles,earlei,Female,,1,Outer Community-North East,,Outer,53.77447010,-113.37208810,POINT (-113.3720881 53.7744701)
"Sep 26, 2017",Culiseta,spp.,Female,UnID,1,Outer Community-North East,,Outer,53.77447010,-113.37208810,POINT (-113.3720881 53.7744701)
"Jun 09, 1992",Misc,UnID,Female,UnID,17,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 18, 1995",Anopheles,earlei,Female,,13,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 04, 2020",Misc,UnID,Female,UnID,3,Outer Community-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Jun 25, 2013",Aedes,vexans,Female,,1,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Jul 16, 2019",Culiseta,alaskaensis,Female,,2,Outer Community-West,No Data,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Jul 14, 1998",Aedes,flavescens,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 14, 2018",Aedes,vexans,Female,,17,Residential-South-GC,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
"Jun 17, 2014",Aedes,euedes,Female,,1,Outer Community-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 27, 2019",Aedes,vexans,Female,,19,Outer Community-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 04, 2015",Culiseta,morsitans,Female,,1,Residential-South-GC,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
"Jul 10, 2007",Aedes,flavescens,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Sep 13, 2016",Culiseta,inornata,Female,,31,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"May 26, 2015",Aedes,Black legs,Female,UnID,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 08, 2023",Aedes,Black legs,Female,UnID,10,Outer Community-East,,Outer,53.77416300,-113.58922100,POINT (-113.589221 53.774163)
"Aug 12, 2014",Culiseta,minnesotae,Female,,5,Outer Community-North East-GC1,,Outer,53.73069000,-113.27288000,POINT (-113.27288 53.73069)
"Sep 04, 2007",Anopheles,earlei,Female,,3,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 22, 2017",Culiseta,inornata,Female,,14,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 27, 2002",Aedes,dorsalis,Female,,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Aug 04, 2015",Culiseta,minnesotae,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 14, 2001",Aedes,vexans,Female,,287,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Jul 24, 2001",Male,UnID,Male,UnID,7,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 02, 2022",Male,UnID,Male,UnID,5,Residential-East,,Core,53.48748100,-113.35126800,POINT (-113.351268 53.487481)
"Jun 25, 2013",Aedes,Black legs,Female,UnID,1,Outer Community-West,,Outer,53.47503000,-113.93436000,POINT (-113.93436 53.47503)
"Aug 05, 2003",Culiseta,inornata,Female,,13,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Aug 05, 2003",Culiseta,inornata,Female,,52,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 22, 1999",Aedes,dorsalis,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 31, 2012",Aedes,dorsalis,Female,,6,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
"Jul 03, 2007",Culiseta,alaskaensis,Female,,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 09, 2013",Aedes,vexans,Female,,51,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Jun 18, 2019",Aedes,excrucians,Female,,3,Rural-South West,,Peripheral,53.52858720,-113.73807010,POINT (-113.7380701 53.5285872)
"Aug 24, 1999",Aedes,dorsalis,Female,,7,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Aug 09, 1994",Culex,territans,Female,,2,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Jun 13, 2017",Aedes,fitchii,Female,,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Sep 10, 2019",Male,UnID,Male,UnID,85,Outer Community-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Sep 01, 2020",Aedes,vexans,Female,,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"May 31, 1994",Culiseta,minnesotae,Female,,1,Outer Community-South West,,Peripheral,53.40827000,-113.76136000,POINT (-113.76136 53.40827)
"Aug 07, 2012",Culiseta,inornata,Female,,8,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 02, 1997",Aedes,campestris,Female,,1,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Jun 27, 1995",Aedes,vexans,Female,,2,River Valley-Central-GC1,,Core,53.53718600,-113.52990800,POINT (-113.529908 53.537186)
"Aug 23, 1994",Aedes,vexans,Female,,252,River Valley-Central-P1,,Core,53.52902900,-113.54717700,POINT (-113.547177 53.529029)
"Sep 01, 2020",Male,UnID,Male,UnID,3,Outer Community-North,,Outer,53.77416300,-113.58922100,POINT (-113.589221 53.774163)
"Aug 06, 2019",Culex,territans,Female,,2,Outer Community-North West,,Outer,53.70127700,-114.04985900,POINT (-114.049859 53.701277)
"Sep 11, 2007",Aedes,vexans,Female,,1,Residential-South,,Core,53.46981200,-113.45737900,POINT (-113.457379 53.469812)
"Sep 04, 2018",Culex,territans,Female,,2,Residential-South-GC,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
"Jul 12, 2022",Culiseta,inornata,Female,,2,Peripheral-South,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 28, 2018",Culex,territans,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 21, 1990",Culiseta,inornata,Female,,41,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jun 14, 2011",Aedes,flavescens,Female,,8,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 23, 2016",Aedes,flavescens,Female,,1,Outer Community-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jun 20, 2017",Culex,territans,Female,,1,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Jun 29, 2021",Male,UnID,Male,UnID,10,Peripheral-North,,Peripheral,53.64335400,-113.36588800,POINT (-113.365888 53.643354)
"Jul 15, 2014",Anopheles,earlei,Female,,1,Outer Community-North West,,Outer,53.71376480,-113.95903590,POINT (-113.9590359 53.7137648)
"Jun 27, 2000",Culiseta,inornata,Female,,3,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 01, 2000",Culex,spp.,Female,UnID,2,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 19, 2022",Male,UnID,Male,UnID,47,Outer Community-North,,Outer,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jun 19, 2018",Aedes,fitchii,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 25, 2017",Culiseta,inornata,Female,,2,Outer Community-North West,,Outer,53.71376480,-113.95903590,POINT (-113.9590359 53.7137648)
"Jun 06, 2017",Male,UnID,Male,UnID,35,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Aug 19, 1997",Culex,territans,Female,,1,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048 53.5242058)
"Jun 21, 2005",Aedes,Banded legs,Female,UnID,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 07, 2001",Anopheles,earlei,Female,,4,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Jun 13, 1995",Culiseta,inornata,Female,,8,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Sep 10, 2013",Aedes,vexans,Female,,16,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
"Jul 23, 1996",Aedes,punctor,Female,,69,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 24, 2014",Aedes,flavescens,Female,,11,Outer Community-South West,,Peripheral,53.43593000,-113.76189000,POINT (-113.76189 53.43593)
"Jun 21, 2011",Aedes,euedes,Female,,14,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Jun 23, 2020",Culiseta,morsitans,Female,,1,Outer Community-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Aug 23, 1994",Anopheles,earlei,Female,,12,River Valley-East-GC2,,Core,53.55335800,-113.46263200,POINT (-113.462632 53.553358)
"Jun 17, 2014",Aedes,spp.,Female,UnID,1,Residential-South,,Core,53.46981200,-113.45737900,POINT (-113.457379 53.469812)
"Jun 14, 1994",Culiseta,inornata,Female,,1,River Valley-Central-P1,,Core,53.52902900,-113.54717700,POINT (-113.547177 53.529029)
"Aug 11, 2020",Culiseta,inornata,Female,,10,Outer Community-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Jul 17, 2007",Aedes,flavescens,Female,,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Jul 29, 1997",Aedes,spencerii,Female,,1,River Valley-East-GC1,,Core,53.56151400,-113.43811190,POINT (-113.4381119 53.561514)
"Jul 17, 1990",Aedes,dorsalis,Female,,4,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 19, 2003",Aedes,Banded legs,Female,UnID,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 28, 2016",Aedes,spencerii,Female,,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Jun 17, 1997",Aedes,spp.,Female,UnID,1,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048 53.5242058)
"Aug 27, 2013",Aedes,vexans,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 19, 1997",Culiseta,inornata,Female,,8,Extended Rural-South West,,Outer,53.42475000,-113.86097000,POINT (-113.86097 53.42475)
"Jul 17, 1990",Aedes,dorsalis,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 22, 1997",Aedes,flavescens,Female,,2,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Sep 30, 2014",Culiseta,inornata,Female,,6,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 20, 1999",Culiseta,incidens,Female,,2,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Jun 04, 2019",Aedes,excrucians,Female,,11,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Jun 01, 1999",Culiseta,alaskaensis,Female,,2,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jul 19, 2016",Culex,territans,Female,,6,Rural GC-South East,,Outer,53.33774000,-113.24156000,POINT (-113.24156 53.33774)
"Jun 29, 1999",Culiseta,inornata,Female,,5,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Sep 20, 2016",Aedes,flavescens,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jul 04, 2017",Aedes,excrucians,Female,,10,Outer Community-South East,,Outer,53.33787710,-113.34249250,POINT (-113.3424925 53.3378771)
"Aug 10, 2004",Aedes,vexans,Female,,300,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 19, 1994",Culiseta,inornata,Female,,16,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jul 17, 2018",Culiseta,alaskaensis,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 08, 2008",Culiseta,inornata,Female,,1,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
"Aug 02, 2005",Aedes,flavescens,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 20, 2004",Aedes,vexans,Female,,228,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 12, 1997",Anopheles,earlei,Female,,16,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"May 24, 2022",Male,UnID,Male,UnID,0,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Jul 26, 2005",Aedes,fitchii,Female,,1,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
"Jun 02, 1998",Culiseta,minnesotae,Female,,7,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 06, 2000",Culiseta,inornata,Female,,1,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Aug 31, 2004",Culiseta,inornata,Female,,13,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 05, 1990",Culiseta,alaskaensis,Female,,8,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jul 24, 2018",Male,UnID,Male,UnID,2,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Sep 02, 2014",Culiseta,inornata,Female,,4,Industrial South,,Core,53.45891000,-113.47761000,POINT (-113.47761 53.45891)
"Jun 06, 1995",Culiseta,minnesotae,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jul 18, 2017",Aedes,vexans,Female,,56,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jun 12, 2018",Aedes,euedes,Female,,3,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jul 18, 2017",Male,UnID,Male,UnID,11,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"May 16, 2017",Culiseta,inornata,Female,,1,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Aug 28, 2018",Anopheles,earlei,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 21, 2015",Mansonia,perturbans,Female,,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 24, 2007",Culiseta,inornata,Female,,10,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Aug 19, 1997",Culex,territans,Female,,3,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Sep 02, 2003",Aedes,Black legs,Female,UnID,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"May 31, 2005",Aedes,excrucians,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 28, 2007",Male,UnID,Male,UnID,53,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 23, 2011",Aedes,canadensis,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 31, 2010",Aedes,vexans,Female,,2,Residential-North,,Core,53.57959700,-113.49643600,POINT (-113.496436 53.579597)
"Jun 29, 2021",Aedes,vexans,Female,,2,Peripheral-South,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 09, 1998",Culiseta,morsitans,Female,,2,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 22, 1997",Misc,UnID,Female,UnID,2,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 01, 1995",Culiseta,inornata,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jun 23, 2015",Culiseta,incidens,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 26, 2014",Culiseta,impatiens,Female,,2,Industrial South,,Core,53.45891000,-113.47761000,POINT (-113.47761 53.45891)
"Aug 10, 2004",Aedes,Banded legs,Female,UnID,6,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 08, 1997",Misc,UnID,Female,UnID,1,River Valley-East-GC1,,Core,53.56151400,-113.43811190,POINT (-113.4381119 53.561514)
"Jul 08, 2014",Aedes,Black legs,Female,UnID,1,Rural GC-South East,,Outer,53.33774000,-113.24156000,POINT (-113.24156 53.33774)
"May 22, 2018",Culiseta,alaskaensis,Female,,3,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"May 07, 2019",Male,UnID,Male,UnID,0,Residential-Other,No Data,Other,53.46981200,-113.45737900,POINT (-113.457379 53.469812)
"Jun 07, 1994",Culiseta,inornata,Female,,9,River Valley-East-GC2,,Core,53.55335800,-113.46263200,POINT (-113.462632 53.553358)
"May 26, 1998",Aedes,flavescens,Female,,3,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 28, 2005",Aedes,spencerii,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"May 18, 2021",Culiseta,alaskaensis,Female,,4,Residential-South,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
"Jul 29, 2008",Aedes,vexans,Female,,2,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"May 26, 1998",Male,UnID,Male,UnID,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 09, 2016",Aedes,spencerii,Female,,4,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Sep 01, 2015",Culex,territans,Female,,2,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Sep 06, 2022",Aedes,vexans,Female,,23,Residential-South,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
"Jun 14, 2016",Aedes,dorsalis,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jun 04, 2019",Aedes,increpitus,Female,,5,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"May 30, 2017",Culiseta,inornata,Female,,3,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Jun 19, 2018",Aedes,fitchii,Female,,2,Outer Community-North,,Outer,53.77416300,-113.58922100,POINT (-113.589221 53.774163)
"Jun 24, 2014",Aedes,excrucians,Female,,1,Outer Community-South West,,Peripheral,53.43593000,-113.76189000,POINT (-113.76189 53.43593)
"Jun 27, 2006",Culiseta,inornata,Female,,2,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 22, 2004",Aedes,flavescens,Female,,9,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 20, 2019",Aedes,euedes,Female,,1,Outer Community-South East,,Outer,53.33787710,-113.34249250,POINT (-113.3424925 53.3378771)
"Jul 13, 2021",Culiseta,inornata,Female,,5,Peripheral-South,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 01, 2023",Male,UnID,Male,UnID,24,Outer Community-East,,Outer,53.77416300,-113.58922100,POINT (-113.589221 53.774163)
"Jul 05, 2016",Aedes,flavescens,Female,,3,Rural GC-South East,,Outer,53.33774000,-113.24156000,POINT (-113.24156 53.33774)
"Sep 06, 1994",Culex,territans,Female,,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Jun 23, 2015",Male,UnID,Male,UnID,7,Rural GC-South East,,Outer,53.33774000,-113.24156000,POINT (-113.24156 53.33774)
"Aug 16, 2005",Aedes,flavescens,Female,,2,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 12, 2012",Culiseta,inornata,Female,,2,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 13, 1991",Culiseta,inornata,Female,,86,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 11, 1998",Aedes,fitchii,Female,,4,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Jul 21, 1992",Aedes,spp.,Female,UnID,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 09, 2011",Male,UnID,Male,UnID,121,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jun 07, 2022",Aedes,euedes,Female,,2,Residential-South,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
