Country,Province,District,Rural/Urban,Date,Malaria_cases
Zambia,Southern,Chikankata,Rural,8/1/15,59
Zambia,Southern,Chikankata,Rural,8/1/15,0
Zambia,Southern,Chikankata,Rural,9/1/15,104
Zambia,Southern,Chikankata,Rural,9/1/15,0
Zambia,Southern,Chikankata,Rural,10/1/15,96
Zambia,Southern,Chikankata,Rural,10/1/15,0
Zambia,Southern,Chikankata,Rural,11/1/15,79
Zambia,Southern,Chikankata,Rural,11/1/15,0
Zambia,Southern,Chikankata,Rural,12/1/15,106
Zambia,Southern,Chikankata,Rural,12/1/15,0
Zambia,Southern,Chikankata,Rural,1/1/16,125
Zambia,Southern,Chikankata,Rural,1/1/16,0
Zambia,Southern,Chikankata,Rural,2/1/16,186
Zambia,Southern,Chikankata,Rural,2/1/16,0
Zambia,Southern,Chikankata,Rural,3/1/16,232
Zambia,Southern,Chikankata,Rural,3/1/16,0
Zambia,Southern,Chikankata,Rural,4/1/16,291
Zambia,Southern,Chikankata,Rural,4/1/16,0
Zambia,Southern,Chikankata,Rural,5/1/16,296
Zambia,Southern,Chikankata,Rural,5/1/16,0
Zambia,Southern,Chikankata,Rural,6/1/16,73
Zambia,Southern,Chikankata,Rural,6/1/16,0
Zambia,Southern,Chikankata,Rural,7/1/16,40
Zambia,Southern,Chikankata,Rural,7/1/16,0
Zambia,Southern,Chikankata,Rural,8/1/16,20
Zambia,Southern,Chikankata,Rural,8/1/16,0
Zambia,Southern,Chikankata,Rural,9/1/16,36
Zambia,Southern,Chikankata,Rural,9/1/16,0
Zambia,Southern,Chikankata,Rural,10/1/16,40
Zambia,Southern,Chikankata,Rural,10/1/16,0
Zambia,Southern,Chikankata,Rural,11/1/16,20
Zambia,Southern,Chikankata,Rural,11/1/16,0
Zambia,Southern,Chikankata,Rural,12/1/16,144
Zambia,Southern,Chikankata,Rural,12/1/16,0
Zambia,Southern,Chikankata,Rural,1/1/17,252
Zambia,Southern,Chikankata,Rural,1/1/17,0
Zambia,Southern,Chikankata,Rural,2/1/17,147
Zambia,Southern,Chikankata,Rural,2/1/17,0
Zambia,Southern,Chikankata,Rural,3/1/17,144
Zambia,Southern,Chikankata,Rural,3/1/17,0
Zambia,Southern,Chikankata,Rural,4/1/17,209
Zambia,Southern,Chikankata,Rural,4/1/17,0
Zambia,Southern,Chikankata,Rural,5/1/17,240
Zambia,Southern,Chikankata,Rural,5/1/17,0
Zambia,Southern,Chikankata,Rural,6/1/17,82
Zambia,Southern,Chikankata,Rural,6/1/17,0
Zambia,Southern,Chikankata,Rural,7/1/17,54
Zambia,Southern,Chikankata,Rural,7/1/17,0
Zambia,Southern,Chikankata,Rural,8/1/17,20
Zambia,Southern,Chikankata,Rural,8/1/17,0
Zambia,Southern,Chikankata,Rural,9/1/17,26
Zambia,Southern,Chikankata,Rural,9/1/17,0
Zambia,Southern,Chikankata,Rural,10/1/17,95
Zambia,Southern,Chikankata,Rural,10/1/17,0
Zambia,Southern,Chikankata,Rural,11/1/17,94
Zambia,Southern,Chikankata,Rural,11/1/17,0
Zambia,Southern,Chikankata,Rural,12/1/17,271
Zambia,Southern,Chikankata,Rural,12/1/17,0
Zambia,Southern,Chikankata,Rural,1/1/18,685
Zambia,Southern,Chikankata,Rural,1/1/18,0
Zambia,Southern,Chikankata,Rural,2/1/18,255
Zambia,Southern,Chikankata,Rural,2/1/18,0
Zambia,Southern,Choma,Rural,1/1/14,0
Zambia,Southern,Choma,Rural,1/1/14,492
Zambia,Southern,Choma,Rural,2/1/14,0
Zambia,Southern,Choma,Rural,2/1/14,1253
Zambia,Southern,Choma,Rural,3/1/14,0
Zambia,Southern,Choma,Rural,3/1/14,2451
Zambia,Southern,Choma,Rural,4/1/14,0
Zambia,Southern,Choma,Rural,4/1/14,1173
Zambia,Southern,Choma,Rural,5/1/14,0
Zambia,Southern,Choma,Rural,5/1/14,810
Zambia,Southern,Choma,Rural,6/1/14,0
Zambia,Southern,Choma,Rural,6/1/14,195
Zambia,Southern,Choma,Rural,7/1/14,0
Zambia,Southern,Choma,Rural,7/1/14,137
Zambia,Southern,Choma,Rural,8/1/14,0
Zambia,Southern,Choma,Rural,8/1/14,78
Zambia,Southern,Choma,Rural,9/1/14,0
Zambia,Southern,Choma,Rural,9/1/14,72
Zambia,Southern,Choma,Rural,10/1/14,0
Zambia,Southern,Choma,Rural,10/1/14,286
Zambia,Southern,Choma,Rural,11/1/14,0
Zambia,Southern,Choma,Rural,11/1/14,250
Zambia,Southern,Choma,Rural,12/1/14,0
Zambia,Southern,Choma,Rural,12/1/14,185
Zambia,Southern,Choma,Rural,1/1/15,0
Zambia,Southern,Choma,Rural,1/1/15,271
Zambia,Southern,Choma,Rural,2/1/15,0
Zambia,Southern,Choma,Rural,2/1/15,177
Zambia,Southern,Choma,Rural,3/1/15,0
Zambia,Southern,Choma,Rural,3/1/15,225
Zambia,Southern,Choma,Rural,4/1/15,0
Zambia,Southern,Choma,Rural,4/1/15,283
Zambia,Southern,Choma,Rural,5/1/15,0
Zambia,Southern,Choma,Rural,5/1/15,229
Zambia,Southern,Choma,Rural,6/1/15,0
Zambia,Southern,Choma,Rural,6/1/15,156
Zambia,Southern,Choma,Rural,7/1/15,0
Zambia,Southern,Choma,Rural,7/1/15,56
Zambia,Southern,Choma,Rural,8/1/15,0
Zambia,Southern,Choma,Rural,8/1/15,51
Zambia,Southern,Choma,Rural,9/1/15,0
Zambia,Southern,Choma,Rural,9/1/15,48
Zambia,Southern,Choma,Rural,10/1/15,0
Zambia,Southern,Choma,Rural,10/1/15,51
Zambia,Southern,Choma,Rural,11/1/15,0
Zambia,Southern,Choma,Rural,11/1/15,77
Zambia,Southern,Choma,Rural,12/1/15,0
Zambia,Southern,Choma,Rural,12/1/15,121
Zambia,Southern,Choma,Rural,1/1/16,0
Zambia,Southern,Choma,Rural,1/1/16,111
Zambia,Southern,Choma,Rural,2/1/16,0
Zambia,Southern,Choma,Rural,2/1/16,116
Zambia,Southern,Choma,Rural,3/1/16,0
Zambia,Southern,Choma,Rural,3/1/16,155
Zambia,Southern,Choma,Rural,4/1/16,0
Zambia,Southern,Choma,Rural,4/1/16,251
Zambia,Southern,Choma,Rural,5/1/16,0
Zambia,Southern,Choma,Rural,5/1/16,237
Zambia,Southern,Choma,Rural,6/1/16,0
Zambia,Southern,Choma,Rural,6/1/16,123
Zambia,Southern,Choma,Rural,7/1/16,0
Zambia,Southern,Choma,Rural,7/1/16,53
Zambia,Southern,Choma,Rural,8/1/16,0
Zambia,Southern,Choma,Rural,8/1/16,30
Zambia,Southern,Choma,Rural,9/1/16,0
Zambia,Southern,Choma,Rural,9/1/16,42
Zambia,Southern,Choma,Rural,10/1/16,0
Zambia,Southern,Choma,Rural,10/1/16,59
Zambia,Southern,Choma,Rural,11/1/16,0
Zambia,Southern,Choma,Rural,11/1/16,39
Zambia,Southern,Choma,Rural,12/1/16,0
Zambia,Southern,Choma,Rural,12/1/16,108
Zambia,Southern,Choma,Rural,1/1/17,0
Zambia,Southern,Choma,Rural,1/1/17,144
Zambia,Southern,Choma,Rural,2/1/17,0
Zambia,Southern,Choma,Rural,2/1/17,72
Zambia,Southern,Choma,Rural,3/1/17,0
Zambia,Southern,Choma,Rural,3/1/17,115
Zambia,Southern,Choma,Rural,4/1/17,0
Zambia,Southern,Choma,Rural,4/1/17,104
Zambia,Southern,Choma,Rural,5/1/17,0
Zambia,Southern,Choma,Rural,5/1/17,144
Zambia,Southern,Choma,Rural,6/1/17,0
Zambia,Southern,Choma,Rural,6/1/17,89
Zambia,Southern,Choma,Rural,7/1/17,0
Zambia,Southern,Choma,Rural,7/1/17,86
Zambia,Southern,Choma,Rural,8/1/17,0
Zambia,Southern,Choma,Rural,8/1/17,28
Zambia,Southern,Choma,Rural,9/1/17,0
Zambia,Southern,Choma,Rural,9/1/17,54
Zambia,Southern,Choma,Rural,10/1/17,0
Zambia,Southern,Choma,Rural,10/1/17,28
Zambia,Southern,Choma,Rural,11/1/17,0
Zambia,Southern,Choma,Rural,11/1/17,24
Zambia,Southern,Choma,Rural,12/1/17,0
Zambia,Southern,Choma,Rural,12/1/17,22
Zambia,Southern,Choma,Rural,1/1/18,0
Zambia,Southern,Choma,Rural,1/1/18,13
Zambia,Southern,Choma,Rural,2/1/18,0
Zambia,Southern,Choma,Rural,2/1/18,8
Zambia,Southern,Choma,Rural,1/1/14,763
Zambia,Southern,Choma,Rural,1/1/14,0
Zambia,Southern,Choma,Rural,2/1/14,1004
Zambia,Southern,Choma,Rural,2/1/14,0
Zambia,Southern,Choma,Rural,3/1/14,3537
Zambia,Southern,Choma,Rural,3/1/14,0
Zambia,Southern,Choma,Rural,4/1/14,3688
Zambia,Southern,Choma,Rural,4/1/14,0
Zambia,Southern,Choma,Rural,5/1/14,2128
Zambia,Southern,Choma,Rural,5/1/14,0
Zambia,Southern,Choma,Rural,6/1/14,1088
Zambia,Southern,Choma,Rural,6/1/14,0
Zambia,Southern,Choma,Rural,7/1/14,219
Zambia,Southern,Choma,Rural,7/1/14,0
Zambia,Southern,Choma,Rural,8/1/14,67
Zambia,Southern,Choma,Rural,8/1/14,0
Zambia,Southern,Choma,Rural,9/1/14,104
Zambia,Southern,Choma,Rural,9/1/14,0
Zambia,Southern,Choma,Rural,10/1/14,150
Zambia,Southern,Choma,Rural,10/1/14,0
Zambia,Southern,Choma,Rural,11/1/14,142
Zambia,Southern,Choma,Rural,11/1/14,0
Zambia,Southern,Choma,Rural,12/1/14,199
Zambia,Southern,Choma,Rural,12/1/14,0
Zambia,Southern,Choma,Rural,1/1/15,318
Zambia,Southern,Choma,Rural,1/1/15,0
Zambia,Southern,Choma,Rural,2/1/15,271
Zambia,Southern,Choma,Rural,2/1/15,0
Zambia,Southern,Choma,Rural,3/1/15,304
Zambia,Southern,Choma,Rural,3/1/15,0
Zambia,Southern,Choma,Rural,4/1/15,290
Zambia,Southern,Choma,Rural,4/1/15,0
Zambia,Southern,Choma,Rural,5/1/15,195
Zambia,Southern,Choma,Rural,5/1/15,0
Zambia,Southern,Choma,Rural,6/1/15,118
Zambia,Southern,Choma,Rural,6/1/15,0
Zambia,Southern,Choma,Rural,7/1/15,45
Zambia,Southern,Choma,Rural,7/1/15,0
Zambia,Southern,Choma,Rural,8/1/15,80
Zambia,Southern,Choma,Rural,8/1/15,0
Zambia,Southern,Choma,Rural,9/1/15,53
Zambia,Southern,Choma,Rural,9/1/15,0
Zambia,Southern,Choma,Rural,10/1/15,29
Zambia,Southern,Choma,Rural,10/1/15,0
Zambia,Southern,Choma,Rural,11/1/15,24
Zambia,Southern,Choma,Rural,11/1/15,0
Zambia,Southern,Choma,Rural,12/1/15,68
Zambia,Southern,Choma,Rural,12/1/15,0
Zambia,Southern,Choma,Rural,1/1/16,96
Zambia,Southern,Choma,Rural,1/1/16,0
Zambia,Southern,Choma,Rural,2/1/16,202
Zambia,Southern,Choma,Rural,2/1/16,0
Zambia,Southern,Choma,Rural,3/1/16,239
Zambia,Southern,Choma,Rural,3/1/16,0
Zambia,Southern,Choma,Rural,4/1/16,465
Zambia,Southern,Choma,Rural,4/1/16,0
Zambia,Southern,Choma,Rural,5/1/16,755
Zambia,Southern,Choma,Rural,5/1/16,0
Zambia,Southern,Choma,Rural,6/1/16,115
Zambia,Southern,Choma,Rural,6/1/16,0
Zambia,Southern,Choma,Rural,7/1/16,42
Zambia,Southern,Choma,Rural,7/1/16,0
Zambia,Southern,Choma,Rural,8/1/16,27
Zambia,Southern,Choma,Rural,8/1/16,0
Zambia,Southern,Choma,Rural,9/1/16,20
Zambia,Southern,Choma,Rural,9/1/16,0
Zambia,Southern,Choma,Rural,10/1/16,40
Zambia,Southern,Choma,Rural,10/1/16,0
Zambia,Southern,Choma,Rural,11/1/16,38
Zambia,Southern,Choma,Rural,11/1/16,0
Zambia,Southern,Choma,Rural,12/1/16,60
Zambia,Southern,Choma,Rural,12/1/16,0
Zambia,Southern,Choma,Rural,1/1/17,154
Zambia,Southern,Choma,Rural,1/1/17,0
Zambia,Southern,Choma,Rural,2/1/17,85
Zambia,Southern,Choma,Rural,2/1/17,0
Zambia,Southern,Choma,Rural,3/1/17,114
Zambia,Southern,Choma,Rural,3/1/17,0
Zambia,Southern,Choma,Rural,4/1/17,215
Zambia,Southern,Choma,Rural,4/1/17,0
Zambia,Southern,Choma,Rural,5/1/17,329
Zambia,Southern,Choma,Rural,5/1/17,0
Zambia,Southern,Choma,Rural,6/1/17,90
Zambia,Southern,Choma,Rural,6/1/17,0
Zambia,Southern,Choma,Rural,7/1/17,47
Zambia,Southern,Choma,Rural,7/1/17,0
Zambia,Southern,Choma,Rural,8/1/17,11
Zambia,Southern,Choma,Rural,8/1/17,0
Zambia,Southern,Choma,Rural,9/1/17,19
Zambia,Southern,Choma,Rural,9/1/17,0
Zambia,Southern,Choma,Rural,10/1/17,15
Zambia,Southern,Choma,Rural,10/1/17,0
Zambia,Southern,Choma,Rural,11/1/17,19
Zambia,Southern,Choma,Rural,11/1/17,0
Zambia,Southern,Choma,Rural,12/1/17,70
Zambia,Southern,Choma,Rural,12/1/17,0
Zambia,Southern,Choma,Rural,1/1/18,82
Zambia,Southern,Choma,Rural,1/1/18,0
Zambia,Southern,Choma,Rural,2/1/18,38
Zambia,Southern,Choma,Rural,2/1/18,0
Zambia,Southern,Choma,Urban,1/1/14,0
Zambia,Southern,Choma,Urban,1/1/14,28
Zambia,Southern,Choma,Urban,2/1/14,0
Zambia,Southern,Choma,Urban,2/1/14,32
Zambia,Southern,Choma,Urban,3/1/14,0
Zambia,Southern,Choma,Urban,3/1/14,97
Zambia,Southern,Choma,Urban,4/1/14,0
Zambia,Southern,Choma,Urban,4/1/14,159
Zambia,Southern,Choma,Urban,5/1/14,0
Zambia,Southern,Choma,Urban,5/1/14,41
Zambia,Southern,Choma,Urban,6/1/14,0
Zambia,Southern,Choma,Urban,6/1/14,9
Zambia,Southern,Choma,Urban,7/1/14,0
Zambia,Southern,Choma,Urban,7/1/14,1
Zambia,Southern,Choma,Urban,8/1/14,0
Zambia,Southern,Choma,Urban,8/1/14,3
Zambia,Southern,Choma,Urban,9/1/14,0
Zambia,Southern,Choma,Urban,9/1/14,6
Zambia,Southern,Choma,Urban,10/1/14,0
Zambia,Southern,Choma,Urban,10/1/14,0
Zambia,Southern,Choma,Urban,11/1/14,0
Zambia,Southern,Choma,Urban,11/1/14,3
Zambia,Southern,Choma,Urban,12/1/14,0
Zambia,Southern,Choma,Urban,12/1/14,4
Zambia,Southern,Choma,Urban,1/1/15,0
Zambia,Southern,Choma,Urban,1/1/15,12
Zambia,Southern,Choma,Urban,2/1/15,0
Zambia,Southern,Choma,Urban,2/1/15,9
Zambia,Southern,Choma,Urban,3/1/15,0
Zambia,Southern,Choma,Urban,3/1/15,23
Zambia,Southern,Choma,Urban,4/1/15,0
Zambia,Southern,Choma,Urban,4/1/15,21
Zambia,Southern,Choma,Urban,5/1/15,0
Zambia,Southern,Choma,Urban,5/1/15,8
Zambia,Southern,Choma,Urban,6/1/15,0
Zambia,Southern,Choma,Urban,6/1/15,9
Zambia,Southern,Choma,Urban,7/1/15,0
Zambia,Southern,Choma,Urban,7/1/15,7
Zambia,Southern,Choma,Urban,8/1/15,0
Zambia,Southern,Choma,Urban,8/1/15,0
Zambia,Southern,Choma,Urban,9/1/15,0
Zambia,Southern,Choma,Urban,9/1/15,3
Zambia,Southern,Choma,Urban,10/1/15,0
Zambia,Southern,Choma,Urban,10/1/15,8
Zambia,Southern,Choma,Urban,11/1/15,0
Zambia,Southern,Choma,Urban,11/1/15,0
Zambia,Southern,Choma,Urban,12/1/15,0
Zambia,Southern,Choma,Urban,12/1/15,5
Zambia,Southern,Choma,Urban,1/1/16,0
Zambia,Southern,Choma,Urban,1/1/16,3
Zambia,Southern,Choma,Urban,2/1/16,0
Zambia,Southern,Choma,Urban,2/1/16,21
Zambia,Southern,Choma,Urban,3/1/16,0
Zambia,Southern,Choma,Urban,3/1/16,14
Zambia,Southern,Choma,Urban,4/1/16,0
Zambia,Southern,Choma,Urban,4/1/16,36
Zambia,Southern,Choma,Urban,5/1/16,0
Zambia,Southern,Choma,Urban,5/1/16,27
Zambia,Southern,Choma,Urban,6/1/16,0
Zambia,Southern,Choma,Urban,6/1/16,7
Zambia,Southern,Choma,Urban,7/1/16,0
Zambia,Southern,Choma,Urban,7/1/16,4
Zambia,Southern,Choma,Urban,8/1/16,0
Zambia,Southern,Choma,Urban,8/1/16,0
Zambia,Southern,Choma,Urban,9/1/16,0
Zambia,Southern,Choma,Urban,9/1/16,2
Zambia,Southern,Choma,Urban,10/1/16,0
Zambia,Southern,Choma,Urban,10/1/16,8
Zambia,Southern,Choma,Urban,11/1/16,0
Zambia,Southern,Choma,Urban,11/1/16,1
Zambia,Southern,Choma,Urban,12/1/16,0
Zambia,Southern,Choma,Urban,12/1/16,1
Zambia,Southern,Choma,Urban,1/1/17,0
Zambia,Southern,Choma,Urban,1/1/17,1
Zambia,Southern,Choma,Urban,2/1/17,0
Zambia,Southern,Choma,Urban,2/1/17,3
Zambia,Southern,Choma,Urban,3/1/17,0
Zambia,Southern,Choma,Urban,3/1/17,4
Zambia,Southern,Choma,Urban,4/1/17,0
Zambia,Southern,Choma,Urban,4/1/17,5
Zambia,Southern,Choma,Urban,5/1/17,0
Zambia,Southern,Choma,Urban,5/1/17,11
Zambia,Southern,Choma,Urban,6/1/17,0
Zambia,Southern,Choma,Urban,6/1/17,0
Zambia,Southern,Choma,Urban,7/1/17,0
Zambia,Southern,Choma,Urban,7/1/17,1
Zambia,Southern,Choma,Urban,8/1/17,0
Zambia,Southern,Choma,Urban,8/1/17,3
Zambia,Southern,Choma,Urban,9/1/17,0
Zambia,Southern,Choma,Urban,9/1/17,0
Zambia,Southern,Choma,Urban,10/1/17,0
Zambia,Southern,Choma,Urban,10/1/17,0
Zambia,Southern,Choma,Urban,11/1/17,0
Zambia,Southern,Choma,Urban,11/1/17,3
Zambia,Southern,Choma,Urban,12/1/17,0
Zambia,Southern,Choma,Urban,12/1/17,3
Zambia,Southern,Choma,Urban,1/1/18,0
Zambia,Southern,Choma,Urban,1/1/18,1
Zambia,Southern,Choma,Urban,2/1/18,0
Zambia,Southern,Choma,Urban,2/1/18,0
Zambia,Southern,Choma,Urban,1/1/14,87
Zambia,Southern,Choma,Urban,1/1/14,0
Zambia,Southern,Choma,Urban,2/1/14,88
Zambia,Southern,Choma,Urban,2/1/14,0
Zambia,Southern,Choma,Urban,3/1/14,192
Zambia,Southern,Choma,Urban,3/1/14,0
Zambia,Southern,Choma,Urban,4/1/14,172
Zambia,Southern,Choma,Urban,4/1/14,0
Zambia,Southern,Choma,Urban,5/1/14,182
Zambia,Southern,Choma,Urban,5/1/14,0
Zambia,Southern,Choma,Urban,6/1/14,112
Zambia,Southern,Choma,Urban,6/1/14,0
Zambia,Southern,Choma,Urban,7/1/14,28
Zambia,Southern,Choma,Urban,7/1/14,0
Zambia,Southern,Choma,Urban,8/1/14,14
Zambia,Southern,Choma,Urban,8/1/14,0
Zambia,Southern,Choma,Urban,9/1/14,26
Zambia,Southern,Choma,Urban,9/1/14,0
Zambia,Southern,Choma,Urban,10/1/14,12
Zambia,Southern,Choma,Urban,10/1/14,0
Zambia,Southern,Choma,Urban,11/1/14,12
Zambia,Southern,Choma,Urban,11/1/14,0
Zambia,Southern,Choma,Urban,12/1/14,31
Zambia,Southern,Choma,Urban,12/1/14,0
Zambia,Southern,Choma,Urban,1/1/15,62
Zambia,Southern,Choma,Urban,1/1/15,0
Zambia,Southern,Choma,Urban,2/1/15,43
Zambia,Southern,Choma,Urban,2/1/15,0
Zambia,Southern,Choma,Urban,3/1/15,49
Zambia,Southern,Choma,Urban,3/1/15,0
Zambia,Southern,Choma,Urban,4/1/15,40
Zambia,Southern,Choma,Urban,4/1/15,0
Zambia,Southern,Choma,Urban,5/1/15,63
Zambia,Southern,Choma,Urban,5/1/15,0
Zambia,Southern,Choma,Urban,6/1/15,46
Zambia,Southern,Choma,Urban,6/1/15,0
Zambia,Southern,Choma,Urban,7/1/15,12
Zambia,Southern,Choma,Urban,7/1/15,0
Zambia,Southern,Choma,Urban,8/1/15,8
Zambia,Southern,Choma,Urban,8/1/15,0
Zambia,Southern,Choma,Urban,9/1/15,12
